date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-07-26 00:00:19,snkr_twitr,,20,21,127,"Nike React Element 55 set to drop in various colors August 23rd for $130 , info via Footlocker *exact cw’s TBD* Pic sourced via @Pinoe77 #snkr_twitr",,@pinoe77,#snkr_twitr,1022270351189803008,https://twitter.com/snkr_twitr/status/1022270351189803008
2018-07-24 03:21:44,cnsmntfuture,,0,0,0,"the nike epic react element 55 is set for the fall http://bit.ly/2MnsSyL",,,,1021596264390164480,https://twitter.com/cnsmntfuture/status/1021596264390164480
2018-07-14 16:45:27,zackj__,,0,0,3,"Yes, there will be a similar model to the recent hyped Nike React Element 87 - that is the Element 55. Lots of similarities, but without the translucent uppers on this one.",,,,1018174647479627776,https://twitter.com/zackj__/status/1018174647479627776
2018-07-03 10:41:03,C_CREPZ,,0,0,0,"NIKE REACT ELEMENT 55. - 🗓TBC #crepzsquad https://www.instagram.com/p/BkxDoRbgDTo/?utm_source=ig_twitter_share&amp;igshid=gdeb6edx8y7i",,,#crepzsquad,1014096677005922304,https://twitter.com/C_CREPZ/status/1014096677005922304
2018-07-03 08:03:32,Sneakers_Mag,,0,0,0,"COMING SOON: NIKE REACT ELEMENT 55 Quando? Leggi qui: http://ow.ly/5YYX30kM8Q0 ___ #shoes #kicks #instashoes #instakicks #sneakers #sneaker #sneakerhead #sneakerheads #solecollector #nicekicks #sneakerfreak #nike #react #sole",,,#shoes #kicks #instashoes #instakicks #sneakers #sneaker #sneakerhead #sneakerheads #solecollector #nicekicks #sneakerfreak #nike #react #sole,1014057036127133696,https://twitter.com/Sneakers_Mag/status/1014057036127133696
2018-06-28 19:21:34,SoleSavy,,3,0,5,"Following the rollout of the React Element 87 for Fall 18, Nike will then move their attention to the React Element 55 for Holiday 18 that will feature a solid upper and retail for less.",,,,1012415730229207041,https://twitter.com/SoleSavy/status/1012415730229207041
2018-06-28 19:19:13,SoleSavy,Tarmanydyn,1,0,1,"While it was a general release, they put it out as a QS and the stock turned out to be low. Undercover branding or not you won't seen many of these in the streets. Nike intentionally building demand for these as they gear up for the React Element 55 drop (the real GR haha)",,,,1012415139348267008,https://twitter.com/SoleSavy/status/1012415139348267008
2018-06-27 07:05:21,Mr_Jumpman023,,0,0,1,"RT nicekicks ""The Nike React Element 55 will launch this holiday season http://bit.ly/2MpYh3K ""shoes",,,,1011868065716371456,https://twitter.com/Mr_Jumpman023/status/1011868065716371456
2018-06-26 19:35:03,nicekicks,,2,5,64,"The @Nike React Element 55 will launch this holiday season http://bit.ly/2MpYh3K",,@Nike,,1011694347333656576,https://twitter.com/nicekicks/status/1011694347333656576
2018-06-26 16:04:37,Kickz2fire,,0,0,0,"#TheDropDate The Nike React Element 55 May be Landing Soon http://bit.ly/2yKjh36",,,#TheDropDate,1011641390906990593,https://twitter.com/Kickz2fire/status/1011641390906990593
2018-06-25 19:19:36,6xandthecity,,0,1,3,"DYK that the names of the two @Nike React Element #sneakers refer to Francium (87) and Caesium (55) thow two most reactive metals on the periodic table of elements?",,@Nike,#sneakers,1011328070450581504,https://twitter.com/6xandthecity/status/1011328070450581504
2018-06-25 19:10:47,breezeSZN,,0,0,0,"Nike Will Debut The Epic React Element 55 This Fall http://bit.ly/2MnsSyL",,,,1011325851240189952,https://twitter.com/breezeSZN/status/1011325851240189952
2018-06-25 19:10:44,100Gbytes,,0,0,0,"Nike Will Debut The Epic React Element 55 This Fall http://bit.ly/2MnsSyL",,,,1011325841949765633,https://twitter.com/100Gbytes/status/1011325841949765633
2018-06-25 19:10:42,cnsmntfuture,,0,0,0,"Nike Will Debut The Epic React Element 55 This Fall http://bit.ly/2MnsSyL",,,,1011325833963810816,https://twitter.com/cnsmntfuture/status/1011325833963810816
2018-06-25 16:23:01,Shooter_Resell,,0,0,0,"NIKE REACT ELEMENT 55, nuove colorways http://shootermagazine.it/2018/06/25/nike-react-element-55-nuove-colorways/",,,,1011283631149600768,https://twitter.com/Shooter_Resell/status/1011283631149600768
2018-06-24 21:05:03,thesolesupplier,,0,4,47,"First look at the Nike React Element 55 https://thesolesupplier.co.uk/news/first-look-nike-react-element-55/",,,,1010992222194536450,https://twitter.com/thesolesupplier/status/1010992222194536450
2018-06-24 09:43:57,wts1987,,0,0,1,"Nike React Element 55 coming this year. http://worldtoursince1987.com/2018/06/24/nike-react-element-87/",,,,1010820817582731264,https://twitter.com/wts1987/status/1010820817582731264
2018-06-24 09:15:17,ClubFshionNews,,0,0,0,"Nike React Element 55 coming this year. http://clubfashionexpress.com/?p=16310",,,,1010813602096435200,https://twitter.com/ClubFshionNews/status/1010813602096435200
2018-06-24 06:05:54,SBDetroit,,0,1,8,"First Look at the Nike React Element 55 https://sneakerbardetroit.com/nike-react-element-55-release-date/",,,,1010765942643707905,https://twitter.com/SBDetroit/status/1010765942643707905
2018-06-07 15:40:43,SoleSavy,,3,0,9,"A few more photos of the 87 version. This version is classified as “Premium” by Nike as they will also release the Nike React Element 55 edition at a lower price point at a later date. ",,,,1004750006425870337,https://twitter.com/SoleSavy/status/1004750006425870337
