,text
0,"Ad: Nike Air Max 97 'Sanded Purple' on sale for $130 + FREE shipping, use code PLAY30 =&gt; http://bit.ly/30kPaIr"
1,$130 + free shipping w/code PLAY30 GS Nike Air Max 97 RFT https://bit.ly/332Llty #AD
2,"Ad: Nike Air Max 97 'Black/University Red' on sale for $130 + FREE shipping, use code PLAY30 =&gt; http://bit.ly/2SiFBac"
3,(eBay Advertisement) Nike Air Max 97 Wolf Grey/Wolf Grey/Pure Platinum/White SE Sparkle Pack T0071001 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338544985&amp;item=233302346637&amp;vectorid=229466&amp;lgeo=1&amp;utm_source=dlvr.it&amp;utm_medium=twitter
4,"Dope sneaker. Still too much RT @KicksDeals: You can pickup select sizes under 12 for the ""Foamposite"" Nike Air Max 97 QS for 25% OFF retail at $127.50 + FREE shipping! BUY HERE -&gt; http://bit.ly/2OMNiHN (use promo code JORNIKAF at checkout) https://twitter.com/KicksDeals/status/1156703610736189442/photo/1"
5,#fun #accs #outside Original authentic NIKE AIR MAX 97 UL '17 SE Sport Outdoor Sneakers Shock Absorbing Lightweight 2019 new Designer CI1503-001 https://connectingb.com/original-authentic-nike-air-max-97-ul-17-se-sport-outdoor-sneakers-shock-absorbing-lightweight-2019-new-designer-ci1503-001/
6,LIVE via Caliroots Nike Air Max 97 'Black/Red' =&gt; http://bit.ly/333cQn2
7,ENDS TONIGHT ⏳ OVER 40% OFF 💥 FREE SHIPPING Grab the Nike Air Max 95 ‘Have a Nike Day’ for $97.49 (Retail $170) Use code 7V5WPWPH at checkout -&gt; https://bit.ly/2Jh0ZZ9
8,"Just Dropped, the #Nike Women's Air Max 97 (Black/Psychic Purple) is now available in-store and online. #DTLRAirDrop Link to cop: https://bit.ly/2SWCGEv"
9,Get over your hump day 🐫🐫with these Custom Nike Air Max 97 at http://Queenofcustomz.com #Queenofcustomz #Nike #nikeairmax #Airmax97 #OGairmax #pastel #sneakerheads #sneakercustom #sneakers #etsy #etsyseller #etsyshop #Love… https://www.instagram.com/p/B0mGO5lB2Pi/?igshid=5x4lis368wdx
10,NIKE AIR MAX 270 REACT BAUHAUS ART PACK AO4971-100 vapormax 720 1 95 98 97 90 
11,NEW: WMNS Nike Air Max 97 SE ‘Red Orbit’ dropped via @sivasdescalzo https://bit.ly/2ypEbRZ #AD
12,Nike Air Max 97 Black 'Tie-Dye' @kkmj_ you like??
13,Dropped via Nordstrom Nike Air Max 97 Black 'Tie-Dye' =&gt; http://bit.ly/2Kfrcbb
14,Check out Nike Air Max 97 Mustard Women’s Size 8.5 Yellow White 921733-701 #Nike #RunningShoes https://ebay.us/TCuyuO via @eBay
15,"💥 Note that size options under 12 for this ""NSW '90s Windbreaker"" Nike Air Max 1 are available for 25% OFF savings at $97.50 + FREE shipping! BUY HERE -&gt; http://bit.ly/2yqfPrg (use promo code JORNIKAF at checkout)"
16,Nike Air Max 97 Reflective Bred on DSG https://bit.ly/2KePPVl Sizes 10-14 left on Nike US http://bit.ly/2XNntvg
