,text
31,"Happy Hour til 7! Complimentary beers while you shop. We’ve got @nikerunning Vaporfly NEXT%, Zoom Fly 3, and Pegasus Turbo 2...... something for every run. #run816 #nike #shoplocal #westportkc #luvmidtownkc #kansascity"
32,The Nike Zoom Fast collection launched TODAY at Eugene Running Company! In order we have the Nike ZoomX Vaporfly Next %✅ the Zoomfly 3 ✅ the Zoom Pegasus Turbo 2✅ and the Nike Air Zoom Pegasus 36 ✅ come check them… https://www.instagram.com/p/BzyXuMOH6z3/?igshid=1jk6prk9zm3k0
33,Whether you're hitting the track or the streets @Nike has your feet covered. The Men's Pegasus Turbo 2 &amp; Zoom Fly 3 drop in select stores &amp; online today! #Hibbett Shop Now | http://bit.ly/30sJJXX
34,Check out Nike ZOOM PEGASUS TURBO 2 - MENS from Paragon Sports 
35,Run Ready | Nike Air Zoom Pegasus Turbo 2 + Nike Zoom Fly 3 is dropping in 4 all new color ways http://bit.ly/2hwa5oe http://bit.ly/2tmnWmd
36,"Nike Running ""ELECTRIC GREEN"" Collection is NOW available! Air Zoom Pegasus 36 FlyEase: http://bit.ly/2S9LUwM Zoom Pegasus Turbo 2: http://bit.ly/2jAGsWZ ZoomX VaporFly %: http://bit.ly/2jDV0Fl"
37,"Ad: LIVE! Nike Nike Air Zoom Pegasus Turbo 2 ""Electric Green"" Eastbay http://bit.ly/2LdyIGt Nikestore http://bit.ly/2NLP8Ic Foot Locker http://bit.ly/2LdyWgI Champs http://bit.ly/2JALjQX"
38,"Ad: LIVE! Nike Nike Air Zoom Pegasus Turbo 2 ""Gunsmoke"" Eastbay http://bit.ly/2JBeoLT Nikestore http://bit.ly/32kccB9 Foot Locker http://bit.ly/2Lgwg2a Champs http://bit.ly/2JPqi5d"
39,Run Ready | Nike Air Zoom Pegasus Turbo 2 + Nike Zoom Fly 3 is dropping in 4 all new color ways Shop Zoom Fly 3 | https://bit.ly/2G8i1rJ Shop Pegasus Turbo 2 | https://bit.ly/2XAsAyC
40,"Launch day. 🚀 - - - The all-new Zoom Pegasus Turbo 2 has taken flight. Featuring a completely redesigned upper, the Peg Turbo 2 uses Nike’s ZoomX midsole, providing an ultralight, fast ride under foot. #RunnersHigh… https://www.instagram.com/p/Bzxz5AUgBwM/?igshid=1lx8ulb78dbll"
41,Nouvelle collection Nike Running maintenant dispo ! ZoomX Vaporfly Next%: http://bit.ly/31WoXl5 Zoom Fly 3: http://bit.ly/2LeBxqL Zoom Pegasus Turbo 2: http://bit.ly/2Lf6oDK
42,NIKE ZOOM PEGASUS TURBO 2 Strictly Original only from the U.S.A — in https://www.facebook.com/100006740195623/posts/2428797914021525/
43,Nike Womens Zoom Pegasus Turbo 2 Electric Green Releasing Tomorrow 8 AM!! https://fastsole.co.uk/sneaker-release-dates/brands/womens/nike-womens-zoom-pegasus-turbo-2-electric-green-at2863-300/ #Nike #Womens #Zoom #Pegasus #Brand #New #Upcoming #Fashion #FastSole
44,Nike Womens Zoom Pegasus Turbo 2 Lab Green Releasing Tomorrow 8 AM!! https://fastsole.co.uk/sneaker-release-dates/brands/womens/nike-womens-zoom-pegasus-turbo-2-lab-green-at8242-300/ #Nike #Womens #Zoom #Pegasus #Brand #New #Upcoming #Fashion #FastSole
45,"Built for the long haul not just the final stretch, the Men's & Women's @Nike Zoom Pegasus Turbo 2 launches 7/11. #Hibbett Learn More | http://bit.ly/2LJy3fn"
46,(eBay Advertisement) Nike Wmns Zoom Pegasus Turbo 2 II Women Running Shoes Sneakers Trainers Pick 1 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&amp;toolid=10039&amp;campid=5338544985&amp;item=293146352379&amp;vectorid=229466&amp;lgeo=1&amp;utm_source=dlvr.it&amp;utm_medium=twitter
47,@nike Zoom series is launching! The Pegasus Turbo 2 and Zoom Fly 3 allow you to experience the run like never before! @Manhattan Running Company https://www.instagram.com/p/BzqsfDBF5rd/?igshid=vcle5c68qaaa
48,☀️Summer 🏃🏽‍♂️Run = Summer Fun with the Men's #Nike Zoom Pegasus Turbo 2 launching 7/11. #Hibbett Learn More | http://bit.ly/2XRUsxB
49,"@Nike seriously, £165 for a pair of running shoes should last longer than 2 months, my second pair of Pegasus 35 zoom turbo are now faulty, I can’t ‘just do it’ because my faulty running shoes are ‘just getting sent back again’ 😞"
50,"Water and coffee to charge up after another nice run in @nike Zoom Pegasus Turbo 2. The super comfortable light upper works well in the heat. The ride is definitely more “taut” , stable and snappy than v1 Firmer… https://www.instagram.com/p/Bznou69HDek/?igshid=233rdg3j8b4z"
51,Hit em with the link: Nike Zoom Pegasus Turbo 2 https://nike.app.link/l7xd9AFD3X
52,One run in and these are maybe my favorite running shoe yet. Light but supportive and def a fast shoe. For the curious: Nike zoom pegasus turbo 2.
53,The Women's #Nike Zoom Pegasus Turbo 2 'Luminous Green' drops in select stores &amp; online today! #Hibbett 🏃🏿‍♀️Shop🏃🏽‍♀️Now🏃🏻‍♀️ | http://bit.ly/30eK14J
54,Lighter & sleeker - Nike Zoom Pegasus Turbo 2 Rise. 👏 Available In-Store &amp; Online 🏃‍♀️http://bit.ly/2KWHjNx
55,The Women's @Nike Zoom Pegasus Turbo 2 'Luminous Green' drops tomorrow! #Hibbett Learn More | http://bit.ly/30de8JP
56,#NIKE 7/4 ZOOMX VAPORFLY NEXT% ZOOM PEGASUS TURBO 2 WMNS ZOOM PEGASUS TURBO 2 WMNS ZOOM PEGASUS TURBO 2 RISE WMNS ZOOM FLY 3 👇👇👇👇 http://bit.ly/2eoeNlg
57,#NIKE 7/4 ZOOMX VAPORFLY NEXT% ZOOM PEGASUS TURBO 2 WMNS ZOOM PEGASUS TURBO 2 WMNS ZOOM PEGASUS TURBO 2 RISE WMNS ZOOM FLY 3 👇👇👇👇 http://bit.ly/2eoeNlg
58,#NIKE 7/4 ZOOMX VAPORFLY NEXT% ZOOM PEGASUS TURBO 2 http://bit.ly/2hwa5oe WMNS ZOOM PEGASUS TURBO 2 http://bit.ly/2tmnWmd WMNS ZOOM PEGASUS TURBO 2 RISE http://bit.ly/2ldYBar WMNS ZOOM FLY 3 http://bit.ly/2svZLmy
59,@nike Zoom Pegasus Turbo 2. A significant upper update reduces weight 0.3 oz / 9 g to a bit less than 7.7 oz / 218 g for a size US9. I believe now the lightest… https://www.instagram.com/p/BzbuRyUnk3i/?igshid=519kra4xnrp3
60,New #nike Zoom Pegasus Turbo 2 for Men now in stock. This ultra light fast paced training shoe now has an improved upper offering better breathability over the previous version. The midsole is still the same… https://www.instagram.com/p/Bza5lN3hCi4/?igshid=txj7od9emj7i
